,Location,Province,Railway,Protection,Trains Daily,Count,Train Max Speed (mph),Road Max Speed (km/h),Vehicles Daily,Protection_en,Province_en,Railway_en
9306,Ns W29-64-19-4,AB,CN,Passive,1.0,0.0,25.0,80.0,75.0,3,0,18
9307,Ns W29-72-4-5,AB,CN,Passive,0.25,0.0,15.0,80.0,200.0,3,0,18
9308,Ns W29-84-22-5,AB,CN,Passive,1.0,0.0,25.0,80.0,10.0,3,0,18
9309,Ns W3-18-16-3,SK,GSR,Passive,1.0,0.0,25.0,30.0,10.0,3,9,32
9310,Ns W3-26-16-3,SK,BSR,Passive,0.1,0.0,10.0,20.0,1.0,3,9,10
9311,Ns W3-26-19-3,SK,BSR,Passive,0.14,0.0,25.0,80.0,125.0,3,9,10
9312,Ns W3-37-16-3,SK,CN,Passive,27.86,0.0,60.0,80.0,1.0,3,9,18
9313,Ns W3-39-19-4,AB,APXX,Passive,1.0,1.0,30.0,80.0,30.0,3,0,2
9314,Ns W3-47-21-3,SK,CN,Passive,5.0,0.0,40.0,80.0,1.0,3,9,18
9315,Ns W3-78-4-6,AB,CN,Passive,1.0,0.0,25.0,80.0,30.0,3,0,18
9316,Ns W3-86-23-5,AB,CN,Passive,1.0,0.0,25.0,80.0,50.0,3,0,18
9317,Ns W30-18-17-3,SK,GSR,Passive,1.0,0.0,25.0,30.0,25.0,3,9,32
9318,Ns W30-21-21-3,SK,GSR,Passive,1.0,0.0,25.0,50.0,10.0,3,9,32
9319,Ns W30-58-20-4,AB,CN,Passive,2.0,0.0,25.0,30.0,10.0,3,0,18
9320,Ns W30-70-5-6,AB,CN,Passive,4.0,0.0,25.0,80.0,25.0,3,0,18
9321,Ns W30-73-12-5,AB,CN,Passive,3.0,0.0,30.0,10.0,1.0,3,0,18
9322,Ns W31-20-27-3,SK,GSR,Passive,1.0,0.0,25.0,30.0,1.0,3,9,32
9323,Ns W31-21-22-3,SK,GSR,Passive,1.0,0.0,25.0,20.0,1.0,3,9,32
9324,Ns W31-25-18-3,SK,BSR,Passive,0.14,0.0,25.0,10.0,1.0,3,9,10
9325,Ns W31-25-19-3,SK,BSR,Passive,0.14,0.0,25.0,80.0,1.0,3,9,10
9326,Ns W31-28-19-3,SK,CN,Passive,4.0,0.0,30.0,10.0,1.0,3,9,18
9327,Ns W31-36-15-3,SK,CP,Passive,6.0,0.0,40.0,80.0,5.0,3,9,19
9328,Ns W31-44-16-3,SK,CN,Passive,5.0,0.0,25.0,80.0,25.0,3,9,18
9329,Ns W31-46-20-3,SK,CN,Passive,5.0,0.0,40.0,50.0,10.0,3,9,18
9330,Ns W31-47-24-3,SK,CN,Passive,5.0,0.0,40.0,80.0,1.0,3,9,18
9331,Ns W31-54-1-5,AB,CN,Passive,4.0,0.0,30.0,80.0,10.0,3,0,18
